nodeId,bandwidthUtilization,packetLossCount,packetDeliveryRatio,congestionRatio,isOverloaded,hasFailed
0,0.0,0,1.0,16.085,0,0
1,0.354413,2389,0.677747,16.055,0,0
2,0.0,0,1.0,16.085,0,0
3,0.344849,2242,0.709998,15.975,0,0
4,0.0,0,1.0,16.085,0,0
5,0.0,0,1.0,16.085,0,0
6,0.376156,1554,0.757504,15.975,0,0
7,0.382062,1987,0.703051,15.975,0,0
8,0.0,0,1.0,16.085,0,0
9,0.0,0,1.0,16.085,0,0
10,0.0,0,1.0,16.085,0,0
11,0.343626,1882,0.733193,15.975,0,1
12,0.0,0,1.0,16.085,0,0
13,0.343596,2290,0.702059,15.975,0,0
14,0.34409,1677,0.773505,15.975,0,0
15,0.0,0,1.0,16.085,0,0
16,0.0,0,1.0,16.085,0,0
17,0.343615,755,0.893823,15.975,0,0
18,0.0,0,1.0,16.085,0,0
19,0.0,0,1.0,16.085,0,0
20,0.0,0,1.0,16.085,0,0
21,0.0,0,1.0,16.085,0,0
22,0.0,0,1.0,16.085,0,0
23,0.0,0,1.0,16.085,0,0
24,0.0,0,1.0,16.085,0,1
